date,trt,rep,plant_height,leaf_number,leaf_length,leaf_width,fresh_wt,dry_wt,note
2026-04-10,NI,1,11.2,6,8.4,6.1,9.27,0.92,
2026-04-10,NI,2,10.8,5,8.1,5.9,9.67,1.03,
2026-04-10,NI,3,10.8,5,8.0,5.8,10.19,1.11,
2026-04-10,NI+SL,1,12.6,7,9.0,6.4,11.10,1.24,
2026-04-10,NI+SL,2,12.1,6,8.8,6.3,10.85,1.19,
2026-04-10,NI+SL,3,12.9,7,9.2,6.6,11.42,1.27,
2026-04-20,NI,1,14.6,8,9.6,6.9,14.02,1.55,
2026-04-20,NI,2,14.1,7,9.4,6.7,13.66,1.49,
2026-04-20,NI,3,14.9,8,9.8,7.0,14.35,1.61,
2026-04-20,NI+SL,1,16.4,9,10.4,7.4,16.31,1.82,
2026-04-20,NI+SL,2,16.0,9,10.2,7.3,15.88,1.76,
2026-04-20,NI+SL,3,16.7,10,10.6,7.6,16.72,1.88,
